,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_lambda,param_gamma,param_eta,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.8409522533416748,0.12271648592029502,0.005315256118774414,0.0009954702716247843,0.5,1200,2,3,0.3686868686868686,5.238095238095238,0.04641588833612782,0.598989898989899,"{'subsample': 0.5, 'n_estimators': 1200, 'min_child_weight': 2, 'max_depth': 3, 'lambda': 0.3686868686868686, 'gamma': 5.238095238095238, 'eta': 0.04641588833612782, 'alpha': 0.598989898989899}",-0.2368271727824279,-0.23331646828164276,-0.23586737321331702,-0.23078062657312776,-0.23328676603644108,-0.23401568137739132,0.0021363072199454894,28
1,1.3535647869110108,0.00792385291837185,0.009710597991943359,0.0011042612823477069,0.55,500,2,10,0.1,1.4285714285714284,0.0031257158496882354,0.5414141414141413,"{'subsample': 0.55, 'n_estimators': 500, 'min_child_weight': 2, 'max_depth': 10, 'lambda': 0.1, 'gamma': 1.4285714285714284, 'eta': 0.0031257158496882354, 'alpha': 0.5414141414141413}",-0.22794164688948604,-0.2241572059322875,-0.23294502803112674,-0.22526452624154464,-0.22745507896758205,-0.2275526972124054,0.0030332533773755883,13
2,0.9747751712799072,0.014356526554882102,0.008321237564086915,0.0012244546638523176,0.8,900,10,4,0.7525252525252525,2.380952380952381,0.007220809018385471,1.6545454545454545,"{'subsample': 0.8, 'n_estimators': 900, 'min_child_weight': 10, 'max_depth': 4, 'lambda': 0.7525252525252525, 'gamma': 2.380952380952381, 'eta': 0.007220809018385471, 'alpha': 1.6545454545454545}",-0.22824982855285253,-0.22365873123948254,-0.23347109032795274,-0.2230744859927868,-0.2275874206443318,-0.22720831135148128,0.003745368166482258,9
3,0.6618696212768554,0.019839210336361133,0.0060312747955322266,0.0014069277558837892,0.6,600,0,6,0.1383838383838384,10.0,0.00021049041445120198,1.2515151515151515,"{'subsample': 0.6, 'n_estimators': 600, 'min_child_weight': 0, 'max_depth': 6, 'lambda': 0.1383838383838384, 'gamma': 10.0, 'eta': 0.00021049041445120198, 'alpha': 1.2515151515151515}",-0.24554790946482014,-0.2456237717302157,-0.24607645100138295,-0.2462617977879289,-0.2462715255072296,-0.24595629109831546,0.0003112844875688368,43
4,1.158820915222168,0.01100693770837531,0.006610345840454101,0.000877654488906686,0.8,1200,5,3,0.1191919191919192,4.285714285714286,0.0001,0.2919191919191919,"{'subsample': 0.8, 'n_estimators': 1200, 'min_child_weight': 5, 'max_depth': 3, 'lambda': 0.1191919191919192, 'gamma': 4.285714285714286, 'eta': 0.0001, 'alpha': 0.2919191919191919}",-0.24540076448527706,-0.24534090588856156,-0.2458385273776209,-0.24589014772236298,-0.24593539750436025,-0.24568114859563656,0.00025591857011099563,42
5,0.6307802200317383,0.004795254157806873,0.004653215408325195,0.0009624883211103439,0.6,1000,8,10,1.5585858585858585,4.761904761904762,0.09770099572992257,0.81010101010101,"{'subsample': 0.6, 'n_estimators': 1000, 'min_child_weight': 8, 'max_depth': 10, 'lambda': 1.5585858585858585, 'gamma': 4.761904761904762, 'eta': 0.09770099572992257, 'alpha': 0.81010101010101}",-0.23774607212705468,-0.23211059563072928,-0.23774587114433715,-0.2289346839543351,-0.23507148781397258,-0.23432174213408574,0.003403597469014942,29
6,0.7718192100524902,0.011163106249074647,0.005047464370727539,0.001243437392928313,0.9,1400,4,5,0.8868686868686868,5.238095238095238,0.298364724028334,0.44545454545454544,"{'subsample': 0.9, 'n_estimators': 1400, 'min_child_weight': 4, 'max_depth': 5, 'lambda': 0.8868686868686868, 'gamma': 5.238095238095238, 'eta': 0.298364724028334, 'alpha': 0.44545454545454544}",-0.23575688711308357,-0.23270262715584064,-0.24101912021529684,-0.21946217909251536,-0.23687810674200352,-0.233163784063748,0.007350827530529121,24
7,0.5913831233978272,0.00673749480207219,0.004483318328857422,0.0008867470209004824,0.8,1000,2,10,0.6757575757575757,5.238095238095238,0.1291549665014884,1.2515151515151515,"{'subsample': 0.8, 'n_estimators': 1000, 'min_child_weight': 2, 'max_depth': 10, 'lambda': 0.6757575757575757, 'gamma': 5.238095238095238, 'eta': 0.1291549665014884, 'alpha': 1.2515151515151515}",-0.23120141754571777,-0.22741116487369972,-0.23000120970644475,-0.21911710038493476,-0.2272420118854234,-0.2269945808792441,0.00421963872644142,7
8,0.6991088390350342,0.010458526600083935,0.005614328384399414,0.001491874789214773,0.7,700,6,3,0.5222222222222221,1.4285714285714284,0.018307382802953697,1.0595959595959596,"{'subsample': 0.7, 'n_estimators': 700, 'min_child_weight': 6, 'max_depth': 3, 'lambda': 0.5222222222222221, 'gamma': 1.4285714285714284, 'eta': 0.018307382802953697, 'alpha': 1.0595959595959596}",-0.23596868910029262,-0.2309491740886564,-0.2373736023876167,-0.23102103231484333,-0.2333241857009249,-0.23372733671846682,0.0025893518762512514,26
9,0.7860191345214844,0.012636029022445512,0.005404806137084961,0.00031481663831309036,0.7,1400,1,10,1.0404040404040404,9.047619047619047,0.3593813663804629,0.7333333333333333,"{'subsample': 0.7, 'n_estimators': 1400, 'min_child_weight': 1, 'max_depth': 10, 'lambda': 1.0404040404040404, 'gamma': 9.047619047619047, 'eta': 0.3593813663804629, 'alpha': 0.7333333333333333}",-0.23973858529375366,-0.226733287940171,-0.242135413619558,-0.22509571576949167,-0.22971188181549407,-0.23268297688769374,0.006941511448174161,21
