game_id,is_home,obj_posteam_epa,obj_posteam_wpa,obj_posteam_interception,obj_posteam_fumble,obj_posteam_qb_hit,obj_defteam_epa,obj_defteam_wpa,obj_defteam_interception,obj_defteam_fumble,obj_defteam_qb_hit,obj_pyexp,adv_posteam_epa,adv_posteam_wpa,adv_posteam_interception,adv_posteam_fumble,adv_posteam_qb_hit,adv_defteam_epa,adv_defteam_wpa,adv_defteam_interception,adv_defteam_fumble,adv_defteam_qb_hit,adv_pyexp,obj_team_win
2009_06_PHI_OAK,1,-0.2994928798449987,-0.0038158639903080214,0.013937282229965157,0.0313588850174216,0.07665505226480836,0.018026853333539903,0.0019886641227846963,0.010899182561307902,0.013623978201634877,0.05449591280653951,0.06818473121442035,-0.0007869084202989955,0.0013381093877777696,0.015384615384615385,0.019230769230769232,0.03076923076923077,-0.17691409745821823,-0.0017465106156874573,0.03225806451612903,0.02867383512544803,0.06810035842293907,0.7397694544315548,1
2009_06_STL_JAX,0,-0.2409165512343567,-0.0059208027598657825,0.009174311926605505,0.027522935779816515,0.10091743119266056,0.08687219065184937,0.0005388274967662567,0.009259259259259259,0.009259259259259259,0.05864197530864197,0.01973518753551683,-0.025504553941577586,-0.0005270528468680061,0.003105590062111801,0.024844720496894408,0.11180124223602485,0.08500161229217304,0.0013426009689440955,0.011627906976744186,0.023255813953488372,0.05232558139534884,0.32690959893259874,0
2009_06_TEN_NE,1,0.03341331505005964,0.0011199194605087184,0.005333333333333333,0.008,0.05333333333333334,0.020468944715242507,0.00041837333895975706,0.006493506493506494,0.016233766233766232,0.07792207792207792,0.5885233025508154,-0.08707476009292815,-0.00456652540777657,0.020895522388059702,0.011940298507462687,0.04776119402985075,0.02325261043865835,0.00033433595157172544,0.011111111111111112,0.016666666666666666,0.07222222222222222,0.20590288816695998,1
2009_07_ARI_NYG,1,0.1235009782552734,0.0036586820099348237,0.007211538461538462,0.014423076923076924,0.03365384615384615,-0.08896274033917118,-0.001867284917727629,0.014492753623188406,0.03188405797101449,0.08695652173913043,0.7463291104366401,-0.06417925784359013,-0.0021153427087791405,0.014245014245014245,0.02564102564102564,0.08262108262108261,-0.08994507588762143,-0.0024091375840614927,0.012269938650306749,0.024539877300613498,0.06134969325153374,0.628825989514148,0
2009_07_ATL_DAL,0,0.06517008997083529,0.002645372859489079,0.012461059190031152,0.024922118380062305,0.021806853582554516,-0.03724797374000408,-0.0012206598795733538,0.014164305949008499,0.019830028328611898,0.06232294617563739,0.7782082946172862,0.08221576345128391,0.0032221395704479265,0.011976047904191617,0.008982035928143712,0.06287425149700598,0.0070864399992172766,0.00136692979820351,0.005780346820809248,0.014450867052023121,0.0838150289017341,0.6426911060522038,0
2009_07_BUF_CAR,0,-0.14193365119244608,-0.004978517826854251,0.017456359102244388,0.00997506234413965,0.11221945137157108,-0.06645156196761694,-0.0028279257313335903,0.020224719101123594,0.01348314606741573,0.0651685393258427,0.2938142371121847,-0.18971881454106987,-0.0022737750590288964,0.03313253012048193,0.030120481927710843,0.06927710843373494,-0.026592311806586198,0.0006980717172655054,0.009404388714733543,0.03134796238244514,0.034482758620689655,0.262391516297891,1
2009_07_CHI_CIN,1,-0.022518522620818267,0.0029130845313326925,0.01694915254237288,0.01694915254237288,0.053268765133171914,-0.03416098239156406,-0.0011793796680064366,0.012468827930174564,0.012468827930174564,0.0773067331670823,0.5,-0.030091785310835666,-0.0004262141997185502,0.021671826625386997,0.02476780185758514,0.06501547987616099,-0.03409897227319449,7.035978900724578e-05,0.014749262536873156,0.014749262536873156,0.08259587020648967,0.6208434469176448,1
2009_07_GB_CLE,1,-0.2867328750329878,-0.006953293879642631,0.026595744680851064,0.018617021276595744,0.06914893617021277,0.07113469056343151,0.0018498829998053368,0.006696428571428571,0.013392857142857142,0.06696428571428571,0.11454605653583037,0.023299553024003525,-0.0005906950837802448,0.005917159763313609,0.01775147928994083,0.10650887573964497,-0.15444332317899334,-0.0023239966726652387,0.030395136778115502,0.015197568389057751,0.08206686930091185,0.7104613360059399,0
2009_07_IND_STL,0,0.18305662439187623,0.00566858950389001,0.012658227848101266,0.00949367088607595,0.04113924050632911,-0.10331261854067014,-0.002927840912960515,0.0111731843575419,0.019553072625698324,0.0782122905027933,0.8534057835995433,-0.2111119702302159,-0.005311719606876659,0.010443864229765013,0.02349869451697128,0.09138381201044386,0.0761821935701512,0.0015341975460160583,0.012106537530266344,0.009685230024213076,0.07506053268765134,0.044888291599538055,1
2009_07_MIN_PIT,0,0.08354004698835328,0.0031948102590514922,0.005141388174807198,0.007712082262210797,0.07455012853470437,-0.07997180724000591,-0.0030652795437904118,0.015037593984962405,0.02506265664160401,0.09523809523809523,0.7676632509989737,0.11340308351496237,0.0029226587679672556,0.014527845036319613,0.01694915254237288,0.06053268765133172,-0.037163583688078254,-0.0003200055596298946,0.010899182561307902,0.02452316076294278,0.04904632152588556,0.6452042628129049,0
2009_07_NE_TB,1,-0.13711505002706134,-0.00474683276991581,0.02077922077922078,0.025974025974025976,0.11428571428571428,0.06459494910214691,0.0020917306778674085,0.015748031496062992,0.013123359580052493,0.07874015748031496,0.15411582724504333,0.1053825661237394,0.001376407186071496,0.004366812227074236,0.006550218340611353,0.05240174672489083,-0.0578145940331229,-0.00040478350752268276,0.011142061281337047,0.03064066852367688,0.06963788300835655,0.8266612263661999,0
2009_07_NO_MIA,0,0.11945477232734145,0.0031228832931732187,0.005494505494505495,0.019230769230769232,0.027472527472527472,-0.20965201630520394,-0.004191662327197458,0.034482758620689655,0.006269592476489028,0.10344827586206896,0.8746507645708926,0.030610603912357107,0.0012397510340805946,0.008379888268156424,0.0223463687150838,0.027932960893854747,0.002159458011954893,0.002946355450186103,0.010638297872340425,0.0070921985815602835,0.05673758865248227,0.5368232591025884,1
2009_07_NYJ_OAK,0,-0.14005830269410427,-0.0023394109027091727,0.025,0.0225,0.045,-0.10067998496371235,-0.0008805035415429857,0.01201923076923077,0.007211538461538462,0.055288461538461536,0.5612026132938371,-0.28487743307948366,-0.004395209843947815,0.01694915254237288,0.025423728813559324,0.07062146892655367,-0.01635117046937664,0.0002468406612465814,0.009195402298850575,0.013793103448275862,0.06436781609195402,0.10306070608726907,1
